City, Region, WaterPollution
New York City," ""New York""",49.5049505
"Washington, D.C."," ""District of Columbia""",49.10714286
San Francisco," ""California""",43
Los Angeles," ""California""",61.29943503
Alexandria," ""Virginia""",46.15384615
Boston," ""Massachusetts""",32.91139241
Saginaw," ""Michigan""",70
San Antonio," ""Texas""",50.67567568
Chicago," ""Illinois""",53.62068966
Pittsburgh," ""Pennsylvania""",59.61538462
Philadelphia," ""Pennsylvania""",55.64516129
Seattle," ""Washington""",36.94852941
Baltimore," ""Maryland""",64.13043478
Huntington Beach," ""California""",65.625
Portland," ""Oregon""",36.34259259
Indianapolis," ""Indiana""",50.65789474
Miami," ""Florida""",47.36842105
Detroit," ""Michigan""",52.08333333
San Diego," ""California""",52.36486486
San Jose," ""California""",41.25
Denver," ""Colorado""",36.83035714
Houston," ""Texas""",57.09459459
Phoenix," ""Arizona""",47.64705882
Dallas," ""Texas""",42.69230769
Fort Worth," ""Texas""",51.13636364
Austin," ""Texas""",43.5
El Paso," ""Texas""",44.64285714
Memphis," ""Tennessee""",48.68421053
Charlotte," ""North Carolina""",31.57894737
Columbus," ""Ohio""",62.5
Jacksonville," ""Florida""",66.21621622
Long Beach," ""California""",32.69230769
Laredo," ""Texas""",100
Oakland," ""California""",33.33333333
Sacramento," ""California""",39.89361702
Honolulu," ""Hawaii""",41.51785714
Providence," ""Rhode Island""",59.61538462
Brooklyn," ""New York""",33.65384615
Tucson," ""Arizona""",39.65517241
Aurora," ""Illinois""",25
Nashville," ""Tennessee""",42.94871795
Salt Lake City," ""Utah""",41.66666667
Atlanta," ""Georgia""",46.57534247
Las Vegas," ""Nevada""",49.69135802
Albany," ""New York""",31.25
Harrisburg," ""Pennsylvania""",37.5
Trenton," ""New Jersey""",100
Newark," ""New Jersey""",62.5
Jersey City," ""New Jersey""",60
Keller," ""Texas""",25
Davenport," ""Iowa""",53.57142857
Jackson," ""Mississippi""",28.57142857
Augusta," ""Maine""",100
Baton Rouge," ""Louisiana""",40.625
Lansing," ""Michigan""",41.66666667
Concord," ""New Hampshire""",15
Lincoln," ""Nebraska""",27.5
Annapolis," ""Maryland""",47.22222222
Springfield," ""Illinois""",62.5
Saint Paul," ""Minnesota""",30
Montgomery," ""Alabama""",56.25
Boca Raton," ""Florida""",34.61538462
Juneau," ""Alaska""",25
Burlington," ""Vermont""",30
Allen," ""Texas""",12.5
Las Cruces," ""New Mexico""",33.33333333
Little Rock," ""Arkansas""",22.05882353
Hartford," ""Connecticut""",50
Dover," ""Delaware""",50
Fargo," ""North Dakota""",0
Grand Forks," ""North Dakota""",37.5
New Orleans," ""Louisiana""",72.85714286
Dayton," ""Ohio""",33.33333333
Albuquerque," ""New Mexico""",39.70588235
Oklahoma City," ""Oklahoma""",31.73076923
Boise," ""Idaho""",32.5
Minneapolis," ""Minnesota""",33.57142857
Tallahassee," ""Florida""",41.66666667
Bismarck," ""North Dakota""",50
Cleveland," ""Ohio""",54.54545455
Milwaukee," ""Wisconsin""",43.29268293
Columbia," ""South Carolina""",52.27272727
Santa Fe," ""New Mexico""",38.63636364
Helena," ""Montana""",50
Cheyenne," ""Wyoming""",0
Anchorage," ""Alaska""",18.75
Des Moines," ""Iowa""",38.33333333
Springfield," ""Oregon""",50
Norman," ""Oklahoma""",25
Buffalo," ""New York""",36.95652174
Carson City," ""Nevada""",50
Topeka," ""Kansas""",56.25
Raleigh," ""North Carolina""",31.25
Kansas City," ""Missouri""",44.51219512
Olympia," ""Washington""",18.75
Cincinnati," ""Ohio""",43.10344828
Omaha," ""Nebraska""",32.35294118
Fresno," ""California""",78.125
Richmond," ""Virginia""",27.63157895
Louisville," ""Kentucky""",38.79310345
Madison," ""Wisconsin""",40.32258065
Salem," ""Oregon""",17.85714286
Ketchikan," ""Alaska""",50
Charleston," ""West Virginia""",50
Tulsa," ""Oklahoma""",38.63636364
Santa Monica," ""California""",54.16666667
Palo Alto," ""California""",50
Green Bay," ""Wisconsin""",50
Charleston," ""South Carolina""",57.69230769
Dover," ""New Hampshire""",50
Nashua," ""New Hampshire""",0
Manchester," ""New Hampshire""",38.88888889
Oak Ridge," ""Tennessee""",50
San Luis Obispo," ""California""",45.83333333
Cambridge," ""Massachusetts""",21.875
West Hartford," ""Connecticut""",6.25
New Haven," ""Connecticut""",37.5
New Bedford," ""Massachusetts""",75
Stamford," ""Connecticut""",54.16666667
Bridgeport," ""Connecticut""",66.66666667
Waterbury," ""Connecticut""",0
Worcester," ""Massachusetts""",75
Pittsfield," ""Massachusetts""",100
Fall River," ""Massachusetts""",50
Newton," ""Massachusetts""",50
Danbury," ""Connecticut""",0
Somerville," ""Massachusetts""",12.5
Portland," ""Maine""",42.85714286
Rochester," ""New York""",47.91666667
Irvine," ""California""",33.33333333
Fremont," ""California""",15
Scottsdale," ""Arizona""",28.84615385
Reno," ""Nevada""",28.84615385
Winston-Salem," ""North Carolina""",5
Durham," ""North Carolina""",39.58333333
Norfolk," ""Virginia""",75
Orlando," ""Florida""",48.38709677
Greensboro," ""North Carolina""",31.81818182
Toledo," ""Ohio""",75
Stockton," ""California""",71.875
Lexington," ""Kentucky""",40
Corpus Christi," ""Texas""",68.18181818
Riverside," ""California""",53.33333333
Santa Ana," ""California""",55
Aurora," ""Colorado""",33.33333333
Anaheim," ""California""",33.33333333
Tampa," ""Florida""",45.93023256
Bakersfield," ""California""",68.47826087
Colorado Springs," ""Colorado""",38.39285714
Virginia Beach," ""Virginia""",36.66666667
Mesa," ""Arizona""",31.25
Wichita," ""Kansas""",33.82352941
Henderson," ""Nevada""",35
Fort Wayne," ""Indiana""",43.75
Chula Vista," ""California""",75
Chandler," ""Arizona""",45
Lubbock," ""Texas""",34.09090909
Garland," ""Texas""",50
Garden Grove," ""California""",0
Gilbert," ""Arizona""",0
Tempe," ""Arizona""",46.42857143
Peoria," ""Arizona""",15
